scheme_code,scheme_name,isin_growth,isin_div_reinvestment
100192,ING Liquid Fund-Regular Daily Dividend Option,,
100194,ING Liquid Fund-Auto Sweep Growth Option,,
100195,ING Liquid Fund-Auto Sweep Weekly Dividend Option,,
100196,ING Liquid Fund-Institutional Growth Option,,
100197,ING Liquid Fund-Institutional Weekly Dividend Option,,
100198,ING Liquid Fund-Institutional Daily Dividend Option,,
100199,ING Liquid Fund-Super Institutional Growth Option,,
100200,ING Liquid Fund-Super Institutional Daily Dividend Option,,
100201,ING Liquid Fund-Super Institutional Weekly Dividend Option,,
100202,ING Balanced Fund-Dividend Option,,
100203,ING Balanced Fund-Growth Option,,
100218,JM Large Cap Fund (Regular) - IDCW ,INF192K01585,INF192K01593
100219,JM Large Cap Fund (Regular) - Growth Option,INF192K01601,
100220,JM Aggressive Hybrid Fund (Regular) - IDCW,INF192K01528,INF192K01536
100221,JM Aggressive Hybrid Fund (Regular) -Growth Option,INF192K01544,
100222,JM Medium to Long Duration Fund (Regular) - Quarterly IDCW,INF192K01999,INF192K01AA5
100223,JM Medium to Long Duration Fund (Regular) - Growth Option,INF192K01AB3,
100233,JM Liquid Fund (Regular) - Weekly IDCW,INF192K01841,INF192K01858
100234,JM Liquid Fund - Growth Option,INF192K01882,
100237,JM High Liquidity Fund-- Institutional Plan - Growth,,
100238,JM High Liquidity Fund-Institutional Plan - Daily Dividend,,
100241,JM High Liquidity Fund-- Institutional Plan - Dividend,,
100243,JM High Liquidity Fund-- Premium Plan - Daily Dividend Option,,
100244,JM Liquid Fund (Regular) - Quarterly IDCW,INF192K01866,INF192K01874
100245,JM High Liquidity Fund-Super Institutional Plan- Daily Dividend,,
100246,JM High Liquidity Fund-Super Institutional Plan- Weekly  Dividend,,
100247,JM Liquid Fund (Regular) - Super Institutional Plan - Growth Option,INF192K01981,
100249,JM G-Sec Fund - Quarterly Dividend Option,,
100250,JM G-Sec Fund - Growth Option,,
100251,JM G-Sec Fund-PF Plan - Growth Plan,,
100252,JM G-Sec Fund-PF Plan -Dividend Plan,,
100253,JM G-Sec Fund - Bonus Option - Principal Units,,
100254,JM Value Fund (Regular) - Growth Option,INF137A01037,
100261,Kotak Gilt-Savings-Monthly Dividend,,
100262,Kotak Gilt-Savings-Growth,,
100263,Kotak Gilt-Savings-Annual Dividend,,
100264,Kotak Gilt-Investment Regular-Payout of Income Distribution cum capital withdrawal option,INF174K01FK1,INF174K01FJ3
100265,Kotak Gilt-Investment Regular-Growth,INF174K01FI5,
100278,Kotak Gilt-Serial 2019-Dividend,,
100279,Kotak Gilt-Serial 2019-Growth,,
100280,Kotak Gilt-Investment  Provident Fund and Trust-Payout of Income Distribution cum capital withdrawal option,INF174K01FM7,
100281,Kotak Gilt-Investment  Provident Fund and Trust-Growth,INF174K01FL9,
100282,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Growth,,
100283,HDFC FMP 3M MAY 2006(1)-INSTITUTIONAL PLAN-Dividend,,
100284,HDFC FMP 3M MAY 2006(1)-RETAIL-Growth,,
100285,HDFC FMP 3M MAY 2006(1)-RETAIL-Dividend,,
100286,Kotak Aggressive Hybrid Fund - Regular Plan - IDCW - Payout & Reinvestment of Income Distribution cum capital withdrawal option,INF174K01450,INF174K01443
100289,Kotak Tech,,
100290,Kotak MNC,,
100291,Kotak Bond-Deposit-Dividend,,
100292,Kotak Bond-Deposit-Growth,,
100298,Kotak Bond Regular Plan Quaterly Payout of Income Distribution cum capital withdrawal option,,
100299,Kotak Bond Fund - Regular Plan Growth,INF174K01EM0,
100300,Kotak Bond Fund - Regular Plan - Standard IDCW Option,INF174K01EQ1,INF174K01EP3
100301,Kotak Bond Regular Plan Bonus Plan,,
100312,LIC MF Flexi Cap Fund-Regular Plan-IDCW,INF767K01063,INF767K01055
100313,LIC MF Flexi Cap Fund-Regular Plan-Growth,INF767K01071,
100314,LIC MF Medium to Long Duration Fund-Regular Plan-IDCW,INF767K01907,INF767K01915
100315,LIC MF Medium to Long Duration Fund-Regular Plan-Growth,INF767K01923,
100316,LIC MF Gilt Fund-Regular Plan-IDCW,INF767K01683,INF767K01691
100317,LIC MF Gilt Fund-Regular Plan-Growth,INF767K01709,
100318,LIC MF Gilt Fund-PF Plan-IDCW,INF767K01717,INF767K01725
100319,LIC MF Gilt Fund-PF Plan-Growth,INF767K01733,
100321,LIC MF Aggressive Hybrid Fund-Regular Plan-IDCW,INF767K01022,INF767K01014
100323,LIC MF Aggressive Hybrid Fund-Regular Plan-Growth,INF767K01030,
100325,LIC MF ULIS (5 Yrs. Single Premium)-Regular Plan-IDCW Reinvestment,,INF767K01964
100332,LIC MF Large Cap Fund-Regular Plan-IDCW,INF767K01097,INF767K01089
100337,SaharaTax Gain-Dividend,,
100338,SaharaTax Gain-Growth,,
100347,Morgan Stanley Growth Fund- Regular Growth Plan,,
100348,ICICI Prudential Large & Mid Cap Fund - IDCW,INF109K01EQ7,INF109K01449
100349,ICICI Prudential Large & Mid Cap Fund - Growth,INF109K01431,
100350,ICICI Prudential Large & Mid Cap Fund - Institutional Option - I - Growth,,
100351,ICICI Prudential FMCG Fund - IDCW,INF109K01EO2,INF109K01423
100352,ICICI Prudential FMCG Fund - Growth,INF109K01415,
100353,ICICI Prudential ELSS Tax Saver Fund - IDCW,INF109K01FN1,INF109K01472
100354,ICICI Prudential ELSS Tax Saver Fund - Growth,INF109K01464,
100355,ICICI Prudential Equity & Debt Fund - Monthly IDCW,INF109K01DX5,INF109K01498
100356,ICICI Prudential Equity & Debt Fund - Growth,INF109K01480,
100357,ICICI Prudential Liquid Fund -Quarterly IDCW,,
100358,ICICI Prudential Liquid Fund-Dividend-Institutional Quarterly,,
100359,ICICI Prudential Liquid Institutional Plus Fund - Div - Daily,,
100360,ICICI Prudential Liquid Institutional Plus Fund - Div - Weekly,,
100361,ICICI Prudential Liquid Fund-Dividend-Institutional Plus - Monthly,,
100362,ICICI Prudential Liquid Institutional Plus Fund - Growth,,
100363,ICICI Prudential Technology Fund - Growth,INF109K01506,
100364,ICICI Prudential Long Term Bond Fund - Half Yearly IDCW,,
100365,ICICI Prudential Long Term Bond Fund - Growth,INF109K01365,
100366,ICICI Prudential Long Term Bond Fund-Institutional Quarterly Dividend,,
100367,ICICI Prudential Long Term Bond Fund - Quarterly IDCW,INF109K01EZ8,INF109K01399
100368,ICICI Prudential Gilt Fund - IDCW,INF109K01JQ6,INF109K01JP8
100369,ICICI Prudential Gilt Fund - Growth,INF109K01JR4,
100370,ICICI Prudential Short Term Gilt Fund - Dividend,,
100371,ICICI Prudential Short Term Gilt Fund - Growth,,
100372,ICICI Prudential Short Term Gilt Fund - Half Yearly Dividend,,
100375,NIPPON INDIA GROWTH MID CAP FUND - IDCW Option,INF204K01299,INF204K01307
100376,Nippon India Growth Mid Cap Fund-Growth Plan-Bonus Option,INF204K01315,
100377,Nippon India Growth Mid Cap Fund-Growth Plan-Growth Option,INF204K01323,
100378,Nippon India Vision Large & Midcap Fund - IDCW Option,INF204K01372,INF204K01380
100379,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Bonus Option,INF204K01398,
100380,Nippon India Vision Large & Midcap Fund-GROWTH PLAN-Growth Option,INF204K01406,
100381,UTI Large Cap Fund-Income Option,,
100382,UTI Large Cap Fund-Growth Option,,
100383,NIPPON INDIA MEDIUM TO LONG DURATION FUND - MONTHLY IDCW Option,INF204K01CN7,INF204K01CO5
100384,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - QUARTERLY IDCW Option,INF204K01CP2,INF204K01CQ0
100385,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - HALF YEARLY IDCW Option,INF204K01CR8,INF204K01CS6
100386,NIPPON INDIA MEDIUM TO LONG DURATION  FUND - ANNUAL IDCW Option,INF204K01CT4,INF204K01CU2
100387,Nippon India Medium to Long Duration  Fund - Growth Plan Growth Option,INF204K01CL1,
100388,Nippon India Medium to Long Duration  Fund - Growth Plan Bonus Option,INF204K01CM9,
100414,Tata Aggressive Hybrid Fund- Regular Plan - Growth Option,INF277K01303,
100415,Tata Ethical Fund-Regular Plan - Growth Option,INF277K01956,
100416,Tata Long Term Debt Fund - Regular Plan - Quarterly Dividend,,
100417,Tata Income Fund-Regular Plan - Half Yearly Payout of IDCW Option,,
100418,Tata Income Fund -Regular Plan - Growth Option,,
100470,Franklin India Large Cap Fund - IDCW,INF090I01155,INF090I01163
100471,Franklin India Large Cap Fund-Growth,INF090I01171,
100472,Franklin India Mid Cap Fund - IDCW,INF090I01726,INF090I01734
100473,Franklin India Mid Cap Fund-Growth,INF090I01809,
100474,Tata ELSS Fund- Regular Plan - Payout of IDCW Option,INF277K01I60,
100475,Tata Large Cap Fund -Regular Plan - Growth Option,INF277K01931,
100476,Taurus Flexi Cap Fund - Regular Plan - Growth ,INF044D01989,
100477,Taurus Mid Cap Fund - Regular Plan - Growth,INF044D01815,
100480,Taurus ELSS Tax Saver Fund - Regular Plan - Growth,INF044D01AC9,
100481,Franklin India Balanced Fund-Growth,,
100482,Franklin India Balanced Fund-Div,,
100483,Franklin India Growth Fund,,
100484,Franklin India Index Fund- NSE Nifty 50 Index Fund - Growth,INF090I01890,
100485,Franklin India Govt.Sec. Fund-Composite Plan - Growth,,
100486,Franklin India Govt.Sec. Fund-Composite Plan - Dividend,,
100487,Franklin India Govt.Sec. Fund-Treasury Plan(Dividend Option),,
100489,Franklin India Govt.Sec. Fund-Treasury Plan(Growth Option),,
100490,Franklin India Govt.Sec. Fund-PF Plan - Growth,,
100491,Franklin India Govt.Sec. Fund-PF Plan - Dividend,,
100493,Franklin India Government Securities Fund - Growth,INF090I01CU9,
100494,Franklin India Government Securities Fund - IDCW ,INF090I01CS3,INF090I01CT1
100495,Franklin India Govt.Sec. Fund-Long Term Plan - Bonus,,
100496,Templeton India Value Fund - Growth Plan,INF090I01296,
100497,Templeton India Value Fund - IDCW ,INF090I01270,INF090I01288
100498,Franklin India Dynamic Accrual Fund - IDCW ,,
100499,Franklin India Dynamic Accrual Fund-Growth,,
100501,Templeton India Liquid Fund-Growth,,
100503,Franklin India Low Duration Fund - Monthly - IDCW,,
100504,Franklin India Low Duration Fund - Quarterly - IDCW,,
100505,Templeton Monthly Income Plan-Half Yearly Dividend,,
100506,Templeton Monthly Income Plan-Growth,,
100519,Franklin India Flexi Cap Fund - IDCW ,INF090I01213,INF090I01221
100520,Franklin India Flexi Cap Fund - Growth,INF090I01239,
100521,Franklin India Technology Fund - IDCW ,INF090I01759,INF090I01767
100522,Franklin India Technology Fund-Growth,INF090I01742,
100523,Franklin FMCG Fund - Growth,,
100524,Franklin INDIA OPPORTUNITIES FUND - IDCW ,INF090I01858,INF090I01866
100525,Franklin India ELSS Tax Saver Fund - IDCW,INF090I01783,INF090I01791
100526,Franklin India ELSS Tax Saver Fund-Growth,INF090I01775,
100527,Franklin India Corporate Debt Fund - Plan A - Annual - IDCW,INF090I01DH4,INF090I01DI2
100528,Franklin India Corporate Debt Fund - Growth,INF090I01DG6,
100529,Franklin India Corporate Debt Fund - Plan B - Monthly - IDCW,INF090I01DJ0,INF090I01DK8
100530,Franklin India Corporate Debt Fund - Plan B - Quarterly - IDCW,INF090I01DL6,INF090I01DM4
100531,Franklin India Corporate Debt Fund - Plan B - Half yearly - IDCW,INF090I01DN2,INF090I01DO0
100532,Franklin India Corporate Debt Fund - Monthly Bonus,,
100535,Franklin India Retirement Fund - IDCW,INF090I01528,INF090I01536
